ALL STANDALONE,,,,,,,
(As on Date:  13-10-2025  0:55:24),,,,,,,
Aishe Code,Name,State,District,Year Of Establishment,Location,Standalone Type,Manegement
S-492,ADITYA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Andhra Pradesh,Srikakulam,-,Rural,Technical/Polytechnic,-
S-26453,THAMMINENI INSTITUTE OF MEDICAL SCIENCES,Andhra Pradesh,NTR,2012,Urban,Paramedical,Private Un-Aided
S-26099,CHANDRA  PARAMEDICAL COLLEGE ,Andhra Pradesh,Prakasam,2024,Rural,Paramedical,Private Un-Aided
S-519,DIVI SEEMA POLYTECHNIC AVANIGADDA,Andhra Pradesh,Krishna,1999,Rural,Technical/Polytechnic,Private Un-Aided
S-26100,SRIDEVI PARAMEDICAL COLLEGE ,Andhra Pradesh,Prakasam,2024,Rural,Paramedical,Private Un-Aided
S-600,NARAYANA POLYTECHNIC,Andhra Pradesh,Srikakulam,2009,Rural,Technical/Polytechnic,Private Un-Aided
S-501,BALAJEE POLYTECHNIC,Andhra Pradesh,Vizianagaram,2012,Rural,Technical/Polytechnic,Private Un-Aided
S-26374,"SRI JYOTHI COLLEGE OF COLLEGE OF MEDICAL TECHNOLOGY, JANGAREDDYGUDEM, ELURU DISTRICT",Andhra Pradesh,Eluru,2023,Rural,Paramedical,Private Un-Aided
S-13793,"B A RAMAIAH POLYTECHNIC, RAJAHMUNDRY",Andhra Pradesh,East Godavari,2012,Rural,Technical/Polytechnic,Private Aided (Government Aided)
S-3637,SRI SAI KRISHNA SCHOOL OF NURSING NELLORE,Andhra Pradesh,Sri Potti Sriramulu Nellore,2000,Urban,Nursing,Private Un-Aided
S-16055,"GOVERNMENT POLYTECHNIC, REPALLE",Andhra Pradesh,Guntur,2010,Urban,Technical/Polytechnic,State Government
S-26380,"SUBHODAYA INSTITUTE OF PARAMEDICAL SCIENCES, NELLORE",Andhra Pradesh,Sri Potti Sriramulu Nellore,2023,Urban,Paramedical,Private Un-Aided
S-13159,"DEEPIKA SCHOOL OF NURSING, TIRUPATHI, CHITTOOR",Andhra Pradesh,Chittoor,2012,Urban,Nursing,Private Un-Aided
S-17682,SHRI VIJAYA JYOTHI COLLEGE OF NURSING,Andhra Pradesh,Y.S.R. Kadapa,-,Urban,Nursing,Private Un-Aided
S-3638,SRI SAI SCHOOL OF NURSING GUNTUR,Andhra Pradesh,Guntur,1998,Urban,Nursing,Private Un-Aided
S-26379,"PARAMESWARI COLLEGE OF PARAMEDICAL SCIENCES , ONGOLE",Andhra Pradesh,Prakasam,2003,Rural,Paramedical,Private Un-Aided
S-21455,"DR R S R SCHOOL OF NURSING, VEDAYAPALEM, NELLORE",Andhra Pradesh,Sri Potti Sriramulu Nellore,-,Rural,Nursing,Private Un-Aided
S-13344,"GBR Elementary  Teacher Education, Anaparthy, East Godavari District - 533 342",Andhra Pradesh,East Godavari,2007,Rural,Teacher Training,Private Un-Aided
S-18999,VIKAS PHARMACY COLLEGE,Andhra Pradesh,Krishna,-,Rural,Technical/Polytechnic,Private Un-Aided
S-26378,"PARAMESWARI COLLEGE OF PARA MEDICAL TECHNOLOGICAL SCIENCES , ONGOLE ",Andhra Pradesh,Prakasam,2003,Rural,Paramedical,Private Un-Aided
S-26377,VIJAYAWADA COLLEGE OF MEDICAL TECHNOLOGY,Andhra Pradesh,NTR,2003,Urban,Paramedical,Private Un-Aided
S-26376,THAMMINENI PRIVATE PARAMEDICAL INSTITUTE,Andhra Pradesh,NTR,2002,Urban,Paramedical,Private Un-Aided
S-13015,"GANESH SCHOOL OF NURSING, GUDIWADA, KRISHNA",Andhra Pradesh,Krishna,2000,Rural,Nursing,Private Un-Aided
S-26375,ST. JOHNS INSTITUTE OF MEDICAL TECHNOLOGY,Andhra Pradesh,Krishna,2003,Urban,Paramedical,Private Un-Aided
S-14930,"GOVERNMENT POLYTECHNIC, DRAKSHARAMAM",Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2014,Rural,Technical/Polytechnic,State Government
S-3621,SRI BHARGAVI SCHOOL OF NURSING NELLORE,Andhra Pradesh,Sri Potti Sriramulu Nellore,2005,Urban,Nursing,Private Un-Aided
S-13320,"K.P.K School of Nursing, LIC Colony, Anantapur",Andhra Pradesh,Ananthapuramu,2012,Rural,Nursing,Private Un-Aided
S-3539,M I M S SCHOOL OF NURSING VIZIANAGARAM,Andhra Pradesh,Vizianagaram,2004,Rural,Nursing,Private Un-Aided
S-12992,"ANNAPURNA SCHOOL OF NURSING, PALAKOL MANDAL, WEST GODAVARI",Andhra Pradesh,West Godavari,2012,Rural,Nursing,Private Un-Aided
S-19000,SRI JYOTHI POLYTECHNIC,Andhra Pradesh,Krishna,2013,Rural,Technical/Polytechnic,Private Un-Aided
S-13397,"Balaji College of Elementary Teacher Education, Khajanagar, Near RTC Bus Stand, Anantapur- 515001",Andhra Pradesh,Ananthapuramu,2006,Urban,Teacher Training,Private Un-Aided
S-3588,PRIYADARSHINI SCHOOL OF NURSING EAST GODAVARI,Andhra Pradesh,East Godavari,1988,Urban,Nursing,Private Un-Aided
S-3639,SRI SAI SCHOOL OF NURSING PRAKASAM,Andhra Pradesh,Prakasam,2003,Urban,Nursing,Private Un-Aided
S-13188,"TANVI SCHOOL OF NURSING, PIDUGURALLA, GUNTUR DISTRICT",Andhra Pradesh,Guntur,2018,Urban,Nursing,State Government
S-12914,"FLORENCE NIGHTINGALE SCHOOL OF NURSING, RAJAM, SRIKAKULAM",Andhra Pradesh,Srikakulam,2003,Rural,Nursing,Private Aided (Government Aided)
S-499,ARIES POLYTECHNIC COLLEGE,Andhra Pradesh,Chittoor,2010,Rural,Technical/Polytechnic,Private Aided (Government Aided)
S-13091,"SRI SAPTHA JYOTHI SCHOOL OF NURSING, GUNTAKAL, ANANTHAPUR",Andhra Pradesh,Ananthapuramu,2003,Rural,Nursing,Private Un-Aided
S-13068,"SRI VENKATA RAMANA SCHOOL OF NURSING, RAMNAGAR, PRAKASAM",Andhra Pradesh,Prakasam,2003,Urban,Nursing,Private Aided (Government Aided)
S-3459,AROGYAVARAM MEDICAL CENTRE AROGYAVARAM,Andhra Pradesh,Chittoor,1998,Rural,Nursing,Private Un-Aided
S-12989,"SRI VENKATARAMANA SCHOOL OF NURSING, TANUKU, WEST GODAVARI",Andhra Pradesh,West Godavari,2004,Rural,Nursing,Private Un-Aided
S-3468,BHARATHI SCHOOL OF NURSING PRAKASAM,Andhra Pradesh,Prakasam,2004,Urban,Nursing,Private Un-Aided
S-3646,SRI VENKATESHWARA SCHOOL OF NURSING CHITTOOR,Andhra Pradesh,Chittoor,1986,Rural,Nursing,Private Un-Aided
S-21114,SMT SWARASWATHAMMA SCHOOL OF NURSING,Andhra Pradesh,Chittoor,2018,Urban,Nursing,Private Aided (Government Aided)
S-521,DR SAMUEL GEORGE INSTITUTE OF ENGINEERING & TECHNOLOGY,Andhra Pradesh,Prakasam,2009,Rural,Technical/Polytechnic,Private Un-Aided
S-21120,"SRI PADMAVATHI SCHOOL OF NURSING, ANANTHAPUR",Andhra Pradesh,Ananthapuramu,2018,Rural,Nursing,Private Un-Aided
S-25959,AMBIKA SISHU KENDRA,Andhra Pradesh,Kurnool,2022,Urban,Institutions under Rehabilitation Council of India,Private Un-Aided
S-21119,"NATIONAL SCHOOL OF NURSING, KAKINADA",Andhra Pradesh,East Godavari,2018,Rural,Nursing,Private Un-Aided
S-21118,SRI DEEPTHI SCHOOL OF NURSING,Andhra Pradesh,East Godavari,2020,Rural,Nursing,Private Un-Aided
S-21115,"MOTHER SCHOOL OF NURSING, BHIMAVARAM",Andhra Pradesh,West Godavari,2018,Urban,Nursing,Private Un-Aided
S-21113,VARAHI SCHOOL OF NURSING,Andhra Pradesh,East Godavari,2018,Rural,Nursing,Private Un-Aided
S-21112,PRASANTHI SCHOOL OF NURSING PRATHIPADU,Andhra Pradesh,East Godavari,2020,Rural,Nursing,Private Un-Aided
S-3487,DR RAJASEKHAR REDDY SCHOOL OF NURSING NELLORE,Andhra Pradesh,Sri Potti Sriramulu Nellore,2003,Urban,Nursing,Private Un-Aided
S-13162,"RVS SCHOOL OF NURSING, CHITTOOR",Andhra Pradesh,Chittoor,2012,Urban,Nursing,Private Un-Aided
S-13160,"SRI VIKAS SCHOOL OF NURSING, TIRUPATHI, CHITTOOR",Andhra Pradesh,Chittoor,2011,Rural,Nursing,Private Un-Aided
S-3591,RAMAKRISHAN SCHOOL OF NURSING EAST GODAVARI,Andhra Pradesh,East Godavari,1989,Rural,Nursing,Local Body
S-13029,"D G R SCHOOL OF NURSING, HARANATHPURAM, NELLORE",Andhra Pradesh,Sri Potti Sriramulu Nellore,2003,Rural,Nursing,Private Un-Aided
S-26492,DR ANJIREDDY INSTITUTE OF PARAMEDICAL SCIENCES,Andhra Pradesh,Palnadu,2020,Urban,Paramedical,Private Un-Aided
S-12994,"DISTRICT HOSPITAL SCHOOL OF NURSING, ELURU, WEST GODAVARI",Andhra Pradesh,West Godavari,2005,Urban,Nursing,State Government
S-5587,DISTRICT INSTITUTE OF EDUCATION & TRAINING (DIET) NELLORE,Andhra Pradesh,Sri Potti Sriramulu Nellore,1990,Rural,Teacher Training,State Government
S-19404,MSME TECHNOLOGY CENTRE,Andhra Pradesh,Visakhapatnam,2018,Rural,Institutes under Ministries,Central Government
S-14876,"GOVERNMENT POLYTECHNIC, OBULAVARIPALLI",Andhra Pradesh,Y.S.R. Kadapa,2008,Rural,Technical/Polytechnic,State Government
S-25265,VIJAYAM INSTITUTE OF TECHNOLOGY,Andhra Pradesh,Chittoor,-,Rural,Technical/Polytechnic,Private Un-Aided
S-26493,"SUBHADRA INSTITUTE OF PARAMEDICAL SCIENCES, BALAGA, SRIKAKULAM",Andhra Pradesh,Srikakulam,2023,Rural,Paramedical,Private Un-Aided
S-3486,DR P V RAMACHANDRA REDDY'S PEOPLES POLYCLINIC NELLORE,Andhra Pradesh,Sri Potti Sriramulu Nellore,1999,Urban,Nursing,Private Un-Aided
S-13024,"DR B S R SCHOOL OF NURSING, THYAGARAYANAGARA, NELLORE",Andhra Pradesh,Sri Potti Sriramulu Nellore,2003,Urban,Nursing,Private Un-Aided
S-20855,SOWMYA SCHOOL OF NURSING BUCHIREDDYPALEM SPS NELLORE DISTRICT,Andhra Pradesh,Sri Potti Sriramulu Nellore,-,Rural,Nursing,Private Un-Aided
S-15942,DR ANJIREDDY SCHOOL OF NURSING,Andhra Pradesh,Guntur,2013,Urban,Nursing,Private Un-Aided
S-5597,DISTRICT INSTITUTE OF EDUCATION & TRAINING (DIET) WEST GODAVARI,Andhra Pradesh,West Godavari,1990,Rural,Teacher Training,State Government
S-26565,SRI VENKATESWARA SCHOOL OF NURSING,Andhra Pradesh,Ananthapuramu,2018,Urban,Nursing,Private Un-Aided
S-26566,"SRI SURYA SCHOOL OF NURSING, RAJAHMUNDRY",Andhra Pradesh,East Godavari,2019,Urban,Nursing,Private Un-Aided
S-18004,ADITYA GLOBAL BUSINESS SCHOOL,Andhra Pradesh,East Godavari,-,Rural,PGDM Institutes,Private Un-Aided
S-26082,"SRI GOWTHAM ALLIED AND HEALTH CARE INSTITUTION, CUMBUM",Andhra Pradesh,Prakasam,2024,Rural,Paramedical,Private Un-Aided
S-14925,"GOVERNMENT POLYTECHNIC, RAYACHOTY",Andhra Pradesh,Annamayya,2009,Rural,Technical/Polytechnic,State Government
S-25993,VSM INSTITUTE OF PARAMEDICAL SCIENCES,Andhra Pradesh,Y.S.R. Kadapa,2012,Rural,Paramedical,Private Un-Aided
S-3677,VENKATA PADMA SCHOOL OF NURSING VIZIANAGARAM,Andhra Pradesh,Vizianagaram,2004,Urban,Nursing,State Government
S-5576,DISTRICT INSTITUTE OF EDUCATION & TRAINING (DIET) CHITTOOR,Andhra Pradesh,Chittoor,1990,Rural,Teacher Training,State Government
S-13090,"SRI ADISIVA SADGURU ALLI SAHEB SIVARYULE SCHOOL OF NURSING, GUNTAKAL, ANANTHAPUR",Andhra Pradesh,Ananthapuramu,1996,Rural,Nursing,Private Un-Aided
S-626,SHIRIDI SAI DIPLOMA IN ENGINEERING & TECHNOLOGY,Andhra Pradesh,Vizianagaram,2008,Rural,Technical/Polytechnic,Private Aided (Government Aided)
S-17638,GOVERNMENT POLYTECHNIC TADIPATRI,Andhra Pradesh,Ananthapuramu,2008,Rural,Technical/Polytechnic,State Government
S-20620,SRI VENKATESWARA INSTITUTE OF TRADITIONAL SCULPTURE AND ARCHITECTURE,Andhra Pradesh,Chittoor,-,Urban,Technical/Polytechnic,Private Un-Aided
S-13140,"SRI VINAYAKA SCHOOL OF NURSING, TIRUCHANUR, CHITTOOR",Andhra Pradesh,Chittoor,1988,Rural,Nursing,Private Un-Aided
S-26383,BOLLINENI MEDSKILLS PARAMEDICAL INSTITUTION,Andhra Pradesh,Visakhapatnam,2022,Urban,Paramedical,Private Un-Aided
S-26494,SWETHA MPHA (MALE) TRAINING INSTITUTE,Andhra Pradesh,Sri Potti Sriramulu Nellore,2012,Rural,Paramedical,Private Un-Aided
S-12934,"SIDDARTHA SCHOOL OF NURSING, CHAITANYA NAGAR, VISAKHAPATNAM",Andhra Pradesh,Visakhapatnam,2004,Rural,Nursing,Private Un-Aided
S-17661,TVR POLYTECHNIC,Andhra Pradesh,Srikakulam,2011,Rural,Technical/Polytechnic,Private Un-Aided
S-26079,"SREE JEEVANA JYOTHI ALLIED AND HEALTHCARE INSTITUTION, GIDDALUR",Andhra Pradesh,Prakasam,2024,Urban,Paramedical,Private Un-Aided
S-26093,SRI CHAITANYA PARAMEDICAL COLLEGE,Andhra Pradesh,Eluru,2012,Rural,Paramedical,Private Un-Aided
S-26094,APOLLO PARAMEDICAL COLLEGE,Andhra Pradesh,Eluru,2022,Rural,Paramedical,Private Un-Aided
S-522,DR. Y .C. JAMES YEN GOVERNMENT POLYTECHNIC. KUPPAM,Andhra Pradesh,Chittoor,1998,Rural,Technical/Polytechnic,State Government
S-12990,"ASSRAM SCHOOL OF NURSING, MALKAPURAM, WEST GODAVARI",Andhra Pradesh,Eluru,2003,Rural,Nursing,Private Un-Aided
S-3476,CHRISTIAN MEDICAL CENTRE EAST GODAWARI,Andhra Pradesh,Kakinada,1952,Urban,Nursing,Private Aided (Government Aided)
S-26086,SRIDEVI PARAMEDICAL TRAINING INSTITUTE,Andhra Pradesh,Vizianagaram,2012,Rural,Paramedical,Private Un-Aided
S-21451,"ENNOBLE SCHOOL OF NURSING , NARSIPATNAM",Andhra Pradesh,Anakapalli,-,Urban,Nursing,Private Un-Aided
S-26095,VIJAYKRISHNA PARAMEDICAL COLLGE,Andhra Pradesh,Eluru,2012,Rural,Paramedical,Private Un-Aided
S-12929,"EMANUEL SCHOOL OF NURSING, MAKAVARAPALEM, VISAKHAPATNAM",Andhra Pradesh,Anakapalli,2003,Rural,Nursing,Private Un-Aided
S-497,ANDHRA POLYTECHNIC KAKINADA,Andhra Pradesh,East Godavari,1946,Rural,Technical/Polytechnic,State Government
S-26096,SRI KATYAYANI PARAMEDICAL COLLEGE,Andhra Pradesh,Eluru,2024,Urban,Paramedical,Private Un-Aided
S-26334,SAI SRI INSTITUTE OF ALLIED HEALTH SCIENCES,Andhra Pradesh,Eluru,2022,Urban,Paramedical,Private Un-Aided
S-13006,"K V R INSTITUTE OF PARAMEDICIAL SCIENCES SCHOOL OF NURSING, PENAMALURU, KRISHNA",Andhra Pradesh,NTR,2010,Rural,Nursing,Private Un-Aided
S-3496,FLORENCE NIGHTINGALE SCHOOL OF NURSING KRISHNA,Andhra Pradesh,NTR,2003,Urban,Nursing,Private Un-Aided
S-588,KES POLYTECHNIC,Andhra Pradesh,Guntur,1981,Rural,Technical/Polytechnic,Private Un-Aided
S-3649,SRI Y V S & B R M SCHOOL OF NURSING EAST GODAVARI,Andhra Pradesh,East Godavari,2003,Rural,Nursing,Private Un-Aided
S-3469,BHARGAVI SCHOOLOF NURSING KURNOOL,Andhra Pradesh,Kurnool,2003,Rural,Nursing,Private Un-Aided
S-21137,"KRISHNAVENI PARA MEDICAL COLLEGE, NARASARAOPET, GUNTUR DISTRICT",Andhra Pradesh,Guntur,-,Urban,Paramedical,Private Un-Aided
S-13081,"ASHAM SCHOOL OF NURSING, MARKAPUR, PRAKASAM",Andhra Pradesh,Prakasam,2012,Rural,Nursing,Private Un-Aided
S-19724,PRASANTHI SCHOOL OF NURSING,Andhra Pradesh,East Godavari,2020,Rural,Nursing,Private Un-Aided
S-26104,SATYA DEVA INSTITUTE OF PARAMEDICAL TECHNOLOGY,Andhra Pradesh,NTR,2014,Rural,Paramedical,Private Un-Aided
S-659,SVKP POLYTECHNIC CUMBUM,Andhra Pradesh,Prakasam,-,Rural,Technical/Polytechnic,-
S-3650,SRUTHI SCHOOL OF NURSING GUNTUR,Andhra Pradesh,Guntur,2003,Rural,Nursing,Private Un-Aided
S-26308,MOTHER THERESA PARA MEDICAL TECHNOLOGY,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2023,Rural,Paramedical,Private Un-Aided
S-12984,"VISWASAI SCHOOL OF NURSING, KOVVUR, WEST GODAVARI",Andhra Pradesh,East Godavari,2000,Urban,Nursing,Private Un-Aided
S-3451,AECS APARNA SCHOOL OF NURSING TIRUPATI,Andhra Pradesh,Krishna,1989,Rural,Nursing,Private Aided (Government Aided)
S-21454,"PALLAVAI SCHOOL OF NURSING, VEDAYAPALEM, NELLORE",Andhra Pradesh,Sri Potti Sriramulu Nellore,-,Urban,Nursing,Private Un-Aided
S-26307,"SVES MALE NURSING COLLEGE , KURNOOL, ",Andhra Pradesh,Kurnool,2012,Rural,Paramedical,Private Un-Aided
S-26306,MOTHER INSTITUTE OF MEDICAL TECHNOLOGY,Andhra Pradesh,NTR,2022,Urban,Paramedical,Private Un-Aided
S-26305,JYOTHI MULTIPURPOSE HEALTH WORKERS (FEMALE) TRAINING INSTITUTE,Andhra Pradesh,West Godavari,1988,Urban,Nursing,Private Un-Aided
S-662,T.G.L. POLYTECHNIC ADONI,Andhra Pradesh,Kurnool,1982,Urban,Technical/Polytechnic,Private Un-Aided
S-665,THANDRA PAPARAYA POLYTECHNIC BOBBILI,Andhra Pradesh,Vizianagaram,1998,Rural,Technical/Polytechnic,Private Un-Aided
S-15366,"THE RAJIV GANDHI RECS POLYTECHNIC,KASIMKOTA",Andhra Pradesh,Visakhapatnam,2009,Rural,Technical/Polytechnic,Private Un-Aided
S-13007,"T I M S SCHOOL OF NURSING, GANNAVARAM, KRISHNA",Andhra Pradesh,Krishna,2004,Rural,Nursing,Private Un-Aided
S-3673,TIRUMALA SCHOOL OF NURSING VIZIANAGARAM,Andhra Pradesh,Vizianagaram,2004,Urban,Nursing,Private Un-Aided
S-13165,"TIRUPATHI SCHOOL OF NURSING, CHITTOOR",Andhra Pradesh,Chittoor,2013,Urban,Nursing,Private Un-Aided
S-663,T.M. POLYTECHNIC CUDDAPAH,Andhra Pradesh,Y.S.R. Kadapa,1994,Urban,Technical/Polytechnic,Private Un-Aided
S-13051,"ASWINI SCHOOL OF NURSING, MANGALAGIRI ROAD, GUNTUR",Andhra Pradesh,Guntur,2004,Urban,Nursing,Private Un-Aided
S-5631,MOHAN TEACHER TRAINING INSTITUTE MOHAN EDUCATIONAL SOCIETY EAST GODAVARI,Andhra Pradesh,East Godavari,2008,Rural,Teacher Training,Private Un-Aided
S-3467,BHARAT SCHOOL OF NURSING EAST GODAWARI,Andhra Pradesh,East Godavari,2005,Rural,Nursing,Private Un-Aided
S-516,COL. D.S. RAJU POLYTECHNIC PODURU,Andhra Pradesh,West Godavari,1981,Rural,Technical/Polytechnic,Private Un-Aided
S-12977,"LAVANYA SCHOOL OF NURSING, KAKINADA, EAST GODAVARI",Andhra Pradesh,East Godavari,2015,Rural,Nursing,Private Aided (Government Aided)
S-3448,A E L C SCHOOL OF NURSING PRAKASAM,Andhra Pradesh,Prakasam,2004,Rural,Nursing,Private Un-Aided
S-13112,"VARALAXMI SCHOOL OF NURSING, KADAPA, CUDDAPAH",Andhra Pradesh,Y.S.R. Kadapa,-,Urban,Nursing,Private Un-Aided
S-25994,MEDI INSTITUTE OF MEDICAL SCIENCES,Andhra Pradesh,Y.S.R. Kadapa,2023,Urban,Paramedical,Private Un-Aided
S-25992,AAYUSHMAN INSTITUTE OF PARAMEDICAL SCIENCES,Andhra Pradesh,Kurnool,2023,Urban,Paramedical,Private Un-Aided
S-490,A.V.N.POLYTECHNIC,Andhra Pradesh,Krishna,2008,Rural,Technical/Polytechnic,Private Un-Aided
S-3688,VISHWA BHARATHI SCHOOL OF NURSING KURNOOL,Andhra Pradesh,Kurnool,1999,Urban,Nursing,Private Un-Aided
S-3687,VISAKHA SCHOOL OF NURSING VISAKHAPATNAM,Andhra Pradesh,Visakhapatnam,1988,Urban,Nursing,Private Un-Aided
S-3481,D D R SCHOOL OF NURSING VISAKHAPATNAM,Andhra Pradesh,Visakhapatnam,2003,Urban,Nursing,Private Un-Aided
S-21453,"VASANTHA LAKSHMI SCHOOL OF NURSING, NELLORE",Andhra Pradesh,Sri Potti Sriramulu Nellore,-,Urban,Nursing,Private Un-Aided
S-3685,VIMALA SCHOOL OF NURSING ANANTAPUR,Andhra Pradesh,Ananthapuramu,2003,Rural,Nursing,Private Un-Aided
S-12915,"VIKRANTH SCHOOL OF NURSING, KRANTHI EDUCATIONAL SOCIETY, SRIKAKULAM",Andhra Pradesh,Srikakulam,2006,Rural,Nursing,Private Un-Aided
S-3681,VIJAY SCHOOL OF NURSING KRISHNA,Andhra Pradesh,Krishna,1993,Rural,Nursing,Private Un-Aided
S-12856,"VIJAY INSTITUTE OF NURSING SCIENCES, SRIKAKULAM",Andhra Pradesh,Srikakulam,2009,Urban,Nursing,Private Un-Aided
S-3590,R R CHRISTIAN SCHOOL OF NURSING KURNOOL,Andhra Pradesh,Kurnool,2004,Urban,Nursing,Private Un-Aided
S-3684,VIJAYA SCHOOL OF NURSING NELLORE,Andhra Pradesh,Sri Potti Sriramulu Nellore,2003,Urban,Nursing,Private Un-Aided
S-3485,DR B V SYAMALA RATNAM SCHOOL OF NURSING ANANTAPUR,Andhra Pradesh,Ananthapuramu,1998,Rural,Nursing,Private Un-Aided
S-491,AANM & VVRSR POLYTCHNIC,Andhra Pradesh,Krishna,1981,Rural,Technical/Polytechnic,Private Un-Aided
S-3682,VIJAYA SCHOOL OF NURSING GUNTUR,Andhra Pradesh,Guntur,1986,Urban,Nursing,Private Un-Aided
S-13154,"VIJAYA SCHOOL OF NURSING, GREAMSPET, CHITTOOR",Andhra Pradesh,Chittoor,2004,Urban,Nursing,Private Aided (Government Aided)
S-13012,"VIJAYA INSTITUTE OF MEDICAL SCIENCES SCHOOL OF NURSING, KRISHNA",Andhra Pradesh,Krishna,2007,Urban,Nursing,Private Un-Aided
S-3653,ST ANN'S SCHOOL OF NURSING VISAKHAPATNAM-,Andhra Pradesh,Visakhapatnam,2003,Urban,Nursing,Private Un-Aided
S-3595,S I M S SCHOOL OF NURSING GUNTUR,Andhra Pradesh,Guntur,2013,Urban,Nursing,Private Un-Aided
S-3629,SRI LAKSHMI SCHOOL OF NURSING GUNTUR,Andhra Pradesh,Guntur,2004,Urban,Nursing,Private Un-Aided
S-629,SIR C V RAMAN POLYTECHNIC,Andhra Pradesh,West Godavari,2009,Rural,Technical/Polytechnic,Private Un-Aided
S-3654,ST JOSEPH'S HOSPITAL SCHOOL OF NURSING VISAKHAPATNAM-,Andhra Pradesh,Visakhapatnam,1989,Urban,Nursing,Private Un-Aided
S-26382,BOLLINENI MEDSKILLS PARAMEDICAL INSTITUTION,Andhra Pradesh,Srikakulam,2017,Rural,Paramedical,Private Un-Aided
S-17639,SRI VENKATESWARA POLYTECHNIC,Andhra Pradesh,Srikakulam,2011,Rural,Technical/Polytechnic,Private Un-Aided
S-26080,"RAMESH INSTITUTE OF MEDICAL SCIENCES, ONGOLE",Andhra Pradesh,Prakasam,2024,Urban,Paramedical,Private Un-Aided
S-13152,"SRI KRISHNA CHAITANYA SCHOOL OF NURSING, PRASANTHNAGAR, CHITTOOR",Andhra Pradesh,Chittoor,2004,Rural,Nursing,Private Un-Aided
S-13319,"Indira School of Nursing, Sethampet, Visakhapatnam",Andhra Pradesh,Visakhapatnam,2002,Urban,Nursing,Private Un-Aided
S-26161,VEDA PRAKASH PARAMEDICAL COLLEGE,Andhra Pradesh,Palnadu,2013,Rural,Paramedical,Private Un-Aided
S-3655,ST JOSEPH'S SCHOOL OF NURSING GUNTUR,Andhra Pradesh,Guntur,1949,Rural,Nursing,Private Un-Aided
S-12961,"RAGHAVA SCHOOL OF NURSING, RAMA RAO PET, EAST GODAVARI",Andhra Pradesh,East Godavari,2003,Urban,Nursing,Private Un-Aided
S-3449,ADITYA SCHOOL OF NURSING EAST GODAWARI,Andhra Pradesh,East Godavari,2003,Urban,Nursing,Private Un-Aided
S-13155,"VEDHA SCHOOL OF NURSING, L.S. NAGAR, CHITTOOR",Andhra Pradesh,Chittoor,2004,Urban,Nursing,Private Un-Aided
S-3465,"Kasturba School of Nursing, Narsapuram, West Godavari District",Andhra Pradesh,West Godavari,2015,Rural,Nursing,Private Un-Aided
S-670,VASAVI POLYTECHNIC BANAGANANPALLI,Andhra Pradesh,Kurnool,1984,Urban,Technical/Polytechnic,Private Un-Aided
